,length,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,214706,78,0.833,0.392,0.574,0.00179,7,0.145,-9.195,1,0.17,81.112,4,0.529
1,204093,81,0.877,0.422,0.34,1.77e-05,0,0.149,-6.577,1,0.0351,77.213,4,0.223
2,204989,68,0.526,0.562,0.379,0.0,6,0.151,-7.625,1,0.231,171.848,4,0.258
3,191250,75,0.385,0.7,0.613,0.0,11,0.0887,-4.041,1,0.0408,88.084,4,0.42
4,224694,89,0.578,0.604,0.366,0.0,5,0.133,-7.519,1,0.0282,141.981,4,0.13
5,171200,75,0.394,0.607,0.418,0.0,1,0.182,-6.997,1,0.0363,95.002,4,0.386
6,237814,70,0.477,0.397,0.413,0.0,1,0.0835,-7.701,1,0.0342,77.864,4,0.492
7,173306,83,0.662,0.516,0.467,0.0,0,0.0853,-6.184,1,0.0302,132.861,4,0.386
8,174586,1,0.733,0.52,0.204,2.53e-05,7,0.126,-12.488,1,0.0355,79.682,4,0.274
9,194890,73,0.158,0.652,0.472,0.0,7,0.121,-8.084,1,0.0399,126.904,4,0.24
10,222800,84,0.616,0.398,0.286,0.000146,7,0.0912,-11.881,1,0.033,78.262,4,0.0666
11,242013,31,0.721,0.585,0.436,1.31e-05,10,0.105,-8.761,1,0.0601,143.874,4,0.132
12,240226,74,0.817,0.61,0.488,0.0,3,0.312,-6.918,1,0.0293,125.039,4,0.443
13,193733,81,0.389,0.391,0.335,0.0,0,0.102,-10.064,1,0.0763,174.185,3,0.116
14,208599,72,0.0328,0.619,0.736,0.0,11,0.0864,-7.651,1,0.0425,93.993,4,0.299
15,227186,77,0.585,0.679,0.61,9.51e-05,7,0.156,-10.936,0,0.0305,123.978,4,0.554
16,163226,74,0.87,0.5,0.156,0.0,1,0.125,-11.472,1,0.0469,173.794,4,0.405
17,241595,78,0.193,0.592,0.342,0.00245,0,0.11,-8.93,1,0.0339,130.953,4,0.155
18,155361,65,0.897,0.429,0.214,0.0,1,0.105,-12.261,1,0.242,77.849,4,0.189
19,217351,74,0.355,0.286,0.445,0.0,6,0.114,-8.087,1,0.0347,50.827,4,0.278
20,193976,0,0.125,0.661,0.772,0.00015,8,0.119,-5.054,1,0.0362,146.002,4,0.186
21,185422,83,0.924,0.528,0.309,2.1e-06,0,0.282,-7.398,1,0.0329,133.83,4,0.307
22,182121,71,0.0723,0.616,0.576,0.0,11,0.375,-5.495,0,0.0532,89.962,4,0.269
23,161384,76,0.173,0.655,0.469,0.0,0,0.0956,-6.257,1,0.0292,92.56,4,0.467
24,204309,65,0.649,0.698,0.367,0.0,2,0.119,-5.811,1,0.0329,104.853,3,0.246
25,184505,71,0.771,0.535,0.359,0.0,2,0.111,-9.343,1,0.0607,154.163,4,0.488
26,185853,74,0.84,0.587,0.267,0.0,8,0.121,-9.206,1,0.0349,98.845,4,0.352
27,211837,65,0.875,0.518,0.318,4.21e-06,6,0.13,-11.727,1,0.0749,77.594,4,0.227
28,234623,71,0.216,0.597,0.687,0.0,4,0.107,-6.536,1,0.0466,94.749,4,0.502
29,199980,67,0.543,0.529,0.351,0.0,1,0.0851,-12.484,1,0.0368,147.815,4,0.529
30,204314,79,0.516,0.508,0.378,0.0,7,0.119,-7.158,1,0.0473,144.962,4,0.161
31,193821,80,0.0699,0.442,0.517,0.0,9,0.114,-7.807,1,0.0548,79.867,4,0.2
32,240133,85,0.839,0.567,0.267,1.46e-06,4,0.089,-6.502,1,0.0299,110.011,4,0.0592
33,208186,64,0.274,0.645,0.486,0.0,0,0.135,-7.299,1,0.0425,72.536,4,0.453
34,178994,75,0.0676,0.652,0.383,0.0,2,0.0828,-7.076,0,0.0516,145.765,4,0.549
35,215506,73,0.77,0.471,0.396,0.0,8,0.0729,-6.654,1,0.0336,149.609,4,0.263
36,196844,74,0.358,0.57,0.689,0.0,7,0.0819,-6.242,1,0.147,100.087,4,0.568
37,169265,84,0.785,0.667,0.373,0.0,4,0.0906,-9.389,1,0.05,124.148,4,0.0823
38,217213,42,0.832,0.354,0.264,0.0,0,0.11,-12.571,1,0.0544,80.567,4,0.227
39,277694,66,0.869,0.298,0.295,0.0,2,0.111,-8.789,1,0.0318,171.361,4,0.199
40,177568,66,0.87,0.567,0.395,0.0,10,0.106,-5.568,1,0.0303,119.849,4,0.329
41,205462,69,0.039,0.317,0.545,0.0,11,0.116,-6.439,0,0.0469,139.014,5,0.14
42,157555,68,0.714,0.632,0.578,0.0,9,0.42,-7.657,0,0.0905,139.324,4,0.297
43,197480,64,0.744,0.569,0.291,0.0,0,0.137,-14.509,1,0.043,151.659,4,0.313
44,194853,78,0.733,0.605,0.377,0.0,11,0.0808,-6.213,1,0.0443,73.877,4,0.519
45,187629,69,0.595,0.589,0.364,0.0,1,0.334,-8.079,0,0.0419,104.991,4,0.21
46,225680,66,0.735,0.598,0.295,0.0,1,0.107,-8.553,1,0.0276,87.025,4,0.314
47,185486,78,0.698,0.641,0.324,0.0,11,0.328,-5.851,1,0.0299,110.184,4,0.273
48,285634,79,0.778,0.298,0.38,5.62e-05,6,0.11,-8.426,1,0.0287,75.602,4,0.152
49,158469,63,0.352,0.8,0.41,1.45e-06,10,0.107,-12.734,1,0.236,104.941,4,0.442
50,163547,67,0.815,0.636,0.243,0.0,2,0.111,-9.509,1,0.04,142.016,4,0.239
51,176974,61,0.143,0.548,0.715,2.21e-06,0,0.218,-6.798,1,0.0511,159.924,4,0.393
52,212093,76,0.196,0.673,0.704,0.0,6,0.0898,-8.056,1,0.36,86.919,4,0.372
53,210219,73,0.282,0.783,0.435,0.0,7,0.0833,-7.78,1,0.0588,106.974,4,0.512
54,181000,67,0.218,0.758,0.594,5.32e-06,5,0.0798,-9.63,0,0.426,91.864,4,0.869
55,170344,76,0.777,0.813,0.415,0.0,0,0.131,-5.926,1,0.0349,91.921,4,0.667
56,198220,64,0.97,0.689,0.143,0.0,6,0.109,-17.374,1,0.264,85.398,4,0.528
57,172597,76,0.223,0.766,0.706,0.00028,7,0.064,-6.553,0,0.16,142.989,4,0.766
58,217044,62,0.321,0.51,0.307,1.5e-06,2,0.174,-9.921,1,0.101,159.794,3,0.356
59,178720,82,0.59,0.412,0.382,0.0,2,0.0931,-7.023,0,0.0497,81.493,3,0.318
60,208687,79,0.866,0.464,0.473,0.0,1,0.109,-10.086,1,0.129,75.801,4,0.604
61,229226,90,0.691,0.38,0.339,0.0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849
62,238805,88,0.44,0.761,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531
63,228482,83,0.223,0.597,0.45,0.0,8,0.382,-6.658,1,0.0418,178.765,3,0.537
64,209131,61,0.387,0.718,0.483,0.000208,8,0.124,-6.596,1,0.0381,103.997,4,0.29
65,216864,69,0.664,0.508,0.404,0.0,10,0.104,-11.092,1,0.0788,81.713,4,0.129
66,144426,67,0.171,0.958,0.376,0.0,8,0.127,-7.063,1,0.0523,107.964,4,0.331
67,226402,62,0.388,0.673,0.639,0.0,10,0.164,-4.14,1,0.036,136.155,4,0.217
68,211680,61,0.579,0.557,0.219,1.3e-06,7,0.0982,-10.48,1,0.0317,122.055,4,0.394
69,185849,68,0.318,0.666,0.593,0.0,2,0.414,-5.905,1,0.0373,140.013,4,0.329
70,201400,65,0.429,0.468,0.495,0.0,5,0.305,-6.634,1,0.0822,171.4,4,0.235
71,196453,60,0.0981,0.672,0.642,0.0,5,0.1,-4.035,1,0.0313,121.981,4,0.494
72,238066,60,0.654,0.602,0.43,0.00013,1,0.104,-9.484,1,0.0401,159.845,4,0.298
73,227613,60,0.832,0.72,0.408,2.61e-06,2,0.0992,-11.725,1,0.0498,121.972,4,0.341
74,149297,76,0.864,0.631,0.239,0.0,11,0.116,-7.071,0,0.0398,79.859,4,0.0927
75,146146,28,0.918,0.784,0.278,0.000196,6,0.112,-10.745,1,0.041,105.034,4,0.741
76,198765,68,0.0807,0.39,0.534,0.0,0,0.184,-9.575,1,0.0709,92.047,4,0.244
77,146375,71,0.139,0.703,0.657,0.0,4,0.093,-5.363,1,0.0783,82.96,4,0.455
78,144666,78,0.776,0.378,0.334,0.0,1,0.115,-10.993,1,0.304,181.296,4,0.496
79,222860,70,0.413,0.509,0.498,0.0,2,0.0674,-6.94,1,0.0315,99.729,4,0.283
80,178799,65,0.214,0.692,0.443,0.0,1,0.06,-5.671,1,0.0386,127.9,4,0.363
81,193266,64,0.913,0.641,0.376,0.0,7,0.107,-7.478,1,0.117,143.958,4,0.165
82,201667,72,0.216,0.566,0.581,0.0,9,0.0853,-5.181,1,0.043,130.043,4,0.152
83,213800,0,0.407,0.624,0.393,0.0,8,0.118,-8.916,1,0.0333,177.963,4,0.728
84,184556,0,0.208,0.679,0.481,1.02e-05,3,0.284,-9.045,1,0.0593,80.011,4,0.486
85,183849,59,0.423,0.665,0.61,0.0,0,0.127,-7.655,0,0.0436,127.976,4,0.473
86,198390,62,0.862,0.598,0.502,0.0,1,0.096,-6.273,1,0.0447,121.621,5,0.403
87,207068,68,0.0296,0.569,0.422,0.0,0,0.0613,-5.856,1,0.0302,76.96,4,0.175
88,217493,62,0.0996,0.758,0.562,0.0,9,0.0996,-6.302,1,0.0771,142.035,4,0.581
89,200823,62,0.113,0.548,0.654,0.0,4,0.241,-4.599,1,0.0313,85.023,4,0.317
90,182800,64,0.458,0.774,0.466,0.0,4,0.111,-6.869,1,0.0433,97.975,4,0.396
91,184638,2,0.884,0.629,0.306,0.0776,1,0.124,-11.735,1,0.0424,76.994,1,0.191
92,200940,67,0.8,0.643,0.324,0.0,0,0.111,-7.817,1,0.0338,147.019,4,0.444
93,204156,61,0.463,0.648,0.455,0.0,1,0.109,-7.122,1,0.0341,129.9,4,0.183
94,186613,67,0.00575,0.862,0.4,7.49e-06,4,0.123,-7.486,1,0.0723,122.961,4,0.598
95,195404,59,0.682,0.683,0.346,0.0,0,0.278,-9.475,1,0.0785,129.682,4,0.457
96,253597,61,0.899,0.363,0.12,2.34e-05,7,0.162,-11.662,1,0.0358,71.024,4,0.176
97,172761,77,0.00776,0.63,0.633,0.0,4,0.0541,-7.088,1,0.0457,93.995,4,0.452
98,160736,64,0.169,0.558,0.364,9.94e-05,5,0.109,-8.663,1,0.0502,129.17,4,0.252
99,131824,77,0.646,0.655,0.572,1.81e-06,3,0.0774,-7.666,0,0.0535,137.12,4,0.403
