,length,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,207853,16,0.281,0.788,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822
1,163854,82,0.137,0.697,0.875,0.0,5,0.28,-4.621,1,0.034,140.069,4,0.774
2,169672,77,0.083,0.673,0.729,0.0,6,0.1,-4.879,1,0.0496,122.023,4,0.675
3,178156,70,0.217,0.806,0.513,0.0,4,0.217,-6.208,1,0.0685,124.988,4,0.503
4,183725,82,0.216,0.595,0.784,0.0,1,0.0608,-4.878,1,0.102,124.111,4,0.479
5,188894,78,0.222,0.621,0.747,0.000194,11,0.147,-5.084,1,0.0337,124.015,4,0.426
6,206070,92,0.182,0.756,0.697,0.0,8,0.333,-6.377,1,0.0401,94.996,4,0.956
7,164490,7,0.00515,0.654,0.787,0.0,4,0.144,-4.999,1,0.0502,123.978,4,0.409
8,160766,78,0.041,0.612,0.862,0.0,8,0.0907,-2.903,1,0.037,123.849,4,0.354
9,191329,74,0.0343,0.645,0.786,3.57e-06,1,0.139,-5.337,0,0.0554,124.962,4,0.597
10,170613,68,0.198,0.794,0.706,0.0,5,0.0536,-6.066,0,0.0382,116.032,4,0.908
11,169010,78,0.326,0.682,0.72,0.0,11,0.148,-8.173,0,0.0381,117.003,4,0.673
12,185303,70,0.0643,0.705,0.776,2.81e-06,4,0.0246,-6.096,1,0.0445,116.011,4,0.366
13,178298,66,0.198,0.747,0.537,1.26e-05,10,0.18,-5.76,1,0.0413,97.056,4,0.453
14,161944,65,0.0863,0.667,0.827,0.0,11,0.0565,-5.631,1,0.0368,107.95,4,0.573
15,184104,82,0.0297,0.776,0.808,0.000127,11,0.103,-4.501,1,0.117,123.988,4,0.494
16,218358,75,0.197,0.676,0.786,0.0,1,0.0943,-4.529,1,0.0478,125.983,4,0.483
17,195880,74,0.163,0.662,0.489,0.0,5,0.172,-7.067,1,0.0525,102.04,4,0.506
18,201666,63,0.0783,0.761,0.695,0.0,5,0.14,-4.048,1,0.0886,118.004,4,0.69
19,170280,69,0.274,0.558,0.877,0.0,10,0.162,-3.392,1,0.145,99.988,4,0.762
20,190779,77,0.181,0.686,0.538,3.13e-06,2,0.113,-8.026,1,0.0345,115.884,4,0.584
21,168196,64,0.213,0.617,0.756,0.0,3,0.152,-5.811,1,0.104,121.828,4,0.432
22,178064,68,0.19,0.706,0.914,0.0,5,0.0886,-5.668,0,0.0615,124.03,4,0.299
23,170893,63,0.0931,0.733,0.786,0.0013,11,0.1,-7.494,1,0.0422,102.999,4,0.786
24,141050,76,0.0599,0.476,0.594,0.0,5,0.0785,-6.879,1,0.135,159.702,4,0.314
25,175435,75,0.0481,0.733,0.886,1.81e-06,2,0.191,-1.856,0,0.0426,126.031,4,0.696
26,215203,82,0.293,0.75,0.797,0.0,0,0.392,-4.826,1,0.118,105.949,4,0.523
27,188731,76,0.0313,0.601,0.879,0.0,2,0.0793,-2.673,0,0.0353,124.013,4,0.589
28,184390,75,0.0512,0.692,0.883,0.0,7,0.228,-4.698,1,0.0582,122.984,4,0.614
29,193548,67,0.114,0.732,0.85,2.02e-06,1,0.0388,-5.999,1,0.0444,124.024,4,0.372
30,192847,65,0.194,0.728,0.636,2.57e-05,5,0.515,-5.824,1,0.0366,124.023,4,0.433
31,217408,76,0.0155,0.628,0.877,5.97e-06,0,0.113,-4.205,1,0.046,101.992,4,0.721
32,211294,75,0.00711,0.507,0.828,2.44e-05,10,0.261,-6.023,1,0.0449,178.032,4,0.489
33,213435,74,0.178,0.761,0.739,3.35e-06,6,0.23,-3.591,1,0.0369,118.997,4,0.656
34,174100,64,0.0971,0.688,0.662,1.34e-06,6,0.172,-5.57,1,0.0441,115.106,4,0.549
35,178221,62,0.217,0.669,0.629,0.0,1,0.366,-5.018,0,0.0803,110.865,4,0.294
36,192920,63,0.000618,0.592,0.749,0.00122,6,0.166,-6.165,0,0.0295,127.038,4,0.799
37,164009,62,0.27,0.659,0.617,0.0,11,0.187,-5.862,0,0.0649,119.858,4,0.187
38,167307,67,0.0714,0.646,0.761,0.0,1,0.222,-2.557,1,0.0385,129.916,4,0.472
39,194373,52,0.00178,0.721,0.763,0.000238,5,0.0945,-4.748,1,0.0382,117.981,4,0.436
40,277413,72,0.0586,0.578,0.639,0.0,4,0.0944,-5.749,1,0.0374,108.045,4,0.296
41,143901,92,0.00614,0.737,0.846,0.0,1,0.0486,-4.51,0,0.22,87.981,4,0.546
42,228000,88,0.00813,0.588,0.701,0.0,9,0.2,-6.39,1,0.0402,104.988,4,0.443
43,168162,49,0.0593,0.704,0.701,0.0,2,0.126,-5.44,1,0.0596,88.016,4,0.606
44,187682,80,0.293,0.662,0.807,3.55e-06,10,0.189,-3.285,1,0.0411,103.031,4,0.772
45,166909,65,0.00912,0.688,0.742,1.37e-06,5,0.186,-6.363,1,0.0496,110.026,4,0.74
46,195452,63,0.0636,0.659,0.801,0.0,7,0.341,-4.234,1,0.0435,105.991,4,0.334
47,207667,70,0.124,0.499,0.898,7.2e-06,8,0.0832,-4.181,0,0.124,120.04,4,0.618
48,153865,73,0.0209,0.749,0.674,0.0,10,0.169,-5.128,0,0.0366,123.055,4,0.711
49,192000,58,0.0578,0.756,0.815,2e-05,6,0.387,-5.122,1,0.046,120.002,4,0.927
50,181516,62,0.068,0.929,0.67,0.0,8,0.318,-3.977,1,0.0488,120.935,4,0.938
51,194880,67,0.021,0.582,0.889,0.0,0,0.687,-4.386,1,0.0491,121.977,4,0.438
52,215201,67,0.0148,0.569,0.85,0.0,4,0.245,-3.914,1,0.0369,122.042,4,0.551
53,210643,66,0.00088,0.735,0.694,0.0,11,0.0582,-5.258,0,0.0387,121.46,4,0.777
54,172692,73,0.131,0.333,0.637,1.8e-05,1,0.149,-4.904,0,0.0581,139.898,4,0.132
55,198014,73,0.031,0.679,0.764,9.05e-06,6,0.0951,-5.301,1,0.0391,124.977,4,0.471
56,194234,63,0.141,0.66,0.667,5.26e-05,11,0.107,-6.87,1,0.0474,114.901,4,0.452
57,182497,65,0.412,0.799,0.419,0.0,6,0.203,-7.99,1,0.174,156.055,4,0.716
58,139672,84,0.051,0.774,0.792,0.0,10,0.155,-4.021,1,0.0523,122.062,4,0.507
59,153626,73,0.169,0.763,0.661,0.0,4,0.117,-5.592,0,0.056,95.002,4,0.632
60,211167,71,0.0603,0.599,0.831,0.0,11,0.204,-4.188,1,0.0439,132.019,4,0.624
61,174062,71,0.212,0.573,0.739,0.0,9,0.175,-5.455,1,0.0581,120.077,4,0.363
62,205207,66,0.0132,0.521,0.877,0.0806,7,0.0929,-5.444,1,0.0683,180.007,4,0.199
63,174760,80,0.0697,0.614,0.934,0.0,9,0.121,-3.709,0,0.07,116.001,4,0.436
64,207755,65,0.011,0.555,0.879,0.0,9,0.298,-2.484,0,0.0983,113.852,4,0.691
65,208013,64,0.151,0.421,0.669,0.0,4,0.635,-4.724,1,0.127,175.788,4,0.326
66,193354,70,0.0367,0.462,0.745,0.0,0,0.0795,-6.588,0,0.0699,100.042,4,0.254
67,174000,69,0.122,0.548,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557
68,164200,58,0.000817,0.611,0.88,1.01e-05,7,0.0598,-6.571,0,0.0378,144.996,4,0.771
69,144621,75,0.234,0.678,0.735,0.0,7,0.423,-5.996,1,0.0617,150.091,4,0.71
70,190306,80,0.0332,0.789,0.711,0.0,2,0.0876,-4.248,1,0.041,112.985,4,0.753
71,185393,44,0.0515,0.653,0.623,0.0,9,0.0869,-5.989,1,0.0938,175.884,4,0.48
72,205199,58,0.0133,0.708,0.758,1.04e-05,7,0.418,-4.453,1,0.0367,101.017,4,0.272
73,180644,71,0.00839,0.852,0.698,1.03e-06,9,0.0773,-7.206,1,0.0629,113.039,4,0.324
74,203893,68,0.247,0.697,0.535,0.0,4,0.569,-6.504,1,0.068,82.959,4,0.594
75,169632,70,0.0493,0.668,0.563,0.0,11,0.119,-6.433,1,0.0522,103.116,4,0.305
76,213842,71,0.057,0.695,0.656,0.0,1,0.267,-6.038,1,0.0489,90.986,4,0.346
77,178373,75,0.369,0.779,0.705,7.91e-06,0,0.124,-3.895,1,0.0344,101.022,4,0.946
78,166028,82,0.168,0.734,0.874,1.14e-05,8,0.0489,-3.158,1,0.0662,122.953,4,0.905
79,212093,76,0.196,0.673,0.704,0.0,6,0.0898,-8.056,1,0.36,86.919,4,0.372
