,length,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,200185,87,0.934,0.351,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,0.12
1,237266,59,0.291,0.765,0.472,0.0,10,0.389,-5.837,1,0.052,119.946,4,0.352
2,244360,89,0.695,0.445,0.537,1.65e-05,4,0.0944,-8.532,0,0.04,122.769,4,0.131
3,224694,89,0.578,0.604,0.366,0.0,5,0.133,-7.519,1,0.0282,141.981,4,0.13
4,340706,83,0.0275,0.516,0.595,0.0,5,0.109,-4.63,1,0.0313,119.972,4,0.222
5,242013,31,0.721,0.585,0.436,1.31e-05,10,0.105,-8.761,1,0.0601,143.874,4,0.132
6,229525,81,0.369,0.689,0.481,1.03e-06,10,0.0649,-7.503,1,0.0815,80.025,4,0.283
7,233720,90,0.0157,0.609,0.692,0.0,1,0.0864,-2.958,1,0.0259,116.959,3,0.454
8,223346,79,0.0689,0.556,0.538,0.0,8,0.196,-5.408,0,0.0382,143.95,4,0.291
9,182160,74,0.751,0.501,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
10,198853,81,0.469,0.618,0.443,0.0,2,0.0829,-9.681,1,0.0526,119.949,4,0.167
11,235653,32,0.912,0.642,0.232,7.91e-05,2,0.108,-13.378,0,0.0388,113.884,4,0.111
12,121886,80,0.883,0.669,0.308,0.0,11,0.0984,-10.068,1,0.029,64.934,4,0.52
13,269560,85,0.922,0.422,0.264,0.0,8,0.132,-7.064,1,0.0322,119.93,4,0.331
14,285120,62,0.312,0.423,0.407,0.000961,10,0.11,-7.45,1,0.0267,139.048,3,0.161
15,229226,90,0.691,0.38,0.339,0.0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849
16,211466,84,0.695,0.358,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
17,215106,82,0.604,0.459,0.575,0.0,3,0.0885,-4.858,1,0.0573,111.881,4,0.183
18,222800,84,0.616,0.398,0.286,0.000146,7,0.0912,-11.881,1,0.033,78.262,4,0.0666
19,180933,84,0.896,0.614,0.318,0.00239,7,0.0795,-12.695,1,0.0478,119.959,4,0.112
20,223080,82,0.0476,0.872,0.872,0.00112,1,0.0543,-6.328,1,0.139,116.948,4,0.809
21,235211,47,0.847,0.453,0.302,0.0,3,0.107,-8.637,1,0.053,83.013,1,0.27
22,187931,77,0.894,0.522,0.128,0.026,4,0.0941,-18.717,1,0.0357,109.986,4,0.124
23,242114,41,0.238,0.595,0.511,0.00198,0,0.123,-11.198,1,0.0347,137.915,4,0.338
24,343253,0,0.203,0.426,0.228,0.14,2,0.0832,-10.552,1,0.0322,147.986,4,0.0826
25,183624,81,0.818,0.45,0.329,0.00109,9,0.135,-12.603,0,0.0441,71.884,3,0.266
26,153190,84,0.178,0.604,0.741,3.49e-05,2,0.409,-5.571,1,0.0475,153.947,4,0.473
27,219440,70,0.0146,0.649,0.517,1.63e-06,1,0.145,-7.428,0,0.0297,119.997,4,0.35
28,204932,30,0.923,0.552,0.203,2.44e-05,2,0.141,-9.895,1,0.0284,129.974,3,0.153
29,196871,31,0.131,0.496,0.542,1.22e-05,5,0.115,-9.623,1,0.0353,149.947,4,0.295
30,202009,51,0.854,0.608,0.358,0.0186,0,0.113,-10.018,0,0.0253,103.94,4,0.365
31,188240,54,0.987,0.32,0.242,0.949,9,0.0924,-19.773,1,0.0498,145.722,4,0.115
32,175344,67,0.616,0.603,0.473,0.0,5,0.31,-7.23,1,0.0511,109.494,4,0.446
33,258986,84,0.607,0.614,0.379,0.000464,4,0.0986,-10.48,1,0.0476,107.989,4,0.201
34,217866,77,0.511,0.498,0.59,0.0,1,0.107,-4.721,0,0.032,145.867,4,0.0784
35,245425,82,0.902,0.704,0.225,0.657,6,0.106,-14.454,0,0.0994,120.006,4,0.243
36,281960,71,0.811,0.236,0.249,1e-06,6,0.087,-9.595,0,0.0348,72.847,5,0.181
37,315426,49,0.934,0.382,0.422,0.95,2,0.0695,-10.699,1,0.037,92.378,4,0.0368
38,208211,81,0.969,0.544,0.369,0.279,2,0.639,-9.514,1,0.038,87.01,3,0.102
